# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	36766
#@/user_id	Office-PC
bu tai 	不太	c=14 d=0.336164 t=36766
bu tai hao 	不太好	c=2 d=6.33456e-012 t=36766
bu tai ke neng 	不太可能	c=2 d=4.15348e-017 t=36766
bu tai qing chu 	不太清楚	c=1 d=4.38281e-061 t=36766
bu tai yi yang 	不太一樣	c=1 d=2.25588e-071 t=36766
bu tong 	不同	c=9 d=1.74669 t=36766
bu tong 	不通	c=24 d=0.108609 t=36766
bu tong yi 	不統一	c=1 d=7.89444e-043 t=36766
bu tuo 	不妥	c=1 d=1.77804e-006 t=36766
bu wan zheng 	不完整	c=1 d=2.37946e-022 t=36766
bu wo men 	不我們	c=1 d=6.11441e-037 t=36766
bu xi guan 	不習慣	c=1 d=5.99416e-068 t=36766
bu xi han 	不稀罕	c=1 d=1.94112e-009 t=36766
bu xi huan 	不喜歡	c=2 d=1.22765e-060 t=36766
bu xia 	不下	c=0 d=2.59224e-060 t=36766
bu xia fa 	不下發	c=2 d=4.26386e-059 t=36766
bu xian 	不嫌	c=0 d=9.17175e-073 t=36766
bu xian duo 	不嫌多	c=1 d=9.21772e-072 t=36766
bu xian shi 	不顯示	c=1 d=3.28855e-064 t=36766
bu xian yu 	不限於	c=1 d=7.98355e-028 t=36766
bu xiang 	不想	c=4 d=0.29523 t=36766
bu xiang xin 	不相信	c=1 d=9.88671e-014 t=36766
bu xie 	不寫	c=0 d=9.812e-014 t=36766
bu xing 	不行	c=12 d=0.373727 t=36766
bu xing le 	不行了	c=1 d=5.26524e-072 t=36766
bu xiu gai 	不修改	c=2 d=9.55967e-030 t=36766
bu xiu mian 	不休眠	c=1 d=1.00892e-075 t=36766
bu xu yao 	不需要	c=16 d=0.222017 t=36766
bu yan zhong 	不嚴重	c=1 d=2.99224e-012 t=36766
bu yao 	不要	c=19 d=0.000824907 t=36766
bu yao dian 	不要點	c=1 d=2.01671e-076 t=36766
bu yao ji 	不要急	c=1 d=0.00302755 t=36766
bu yao lian 	不要臉	c=2 d=1.77947e-072 t=36766
bu yao yi wei 	不要以爲	c=1 d=1.62158e-040 t=36766
bu ye 	不也	c=1 d=1.48919e-038 t=36766
bu yi ding 	不一定	c=6 d=8.01401e-014 t=36766
bu yi lai 	不依賴	c=3 d=0.0816756 t=36766
bu yi lou 	不遺漏	c=1 d=0.118245 t=36766
bu yi yang 	不一樣	c=6 d=0.0046311 t=36766
bu yin cang 	不隱藏	c=1 d=4.17217e-011 t=36766
bu yin dao 	不引導	c=1 d=1.7838e-044 t=36766
bu ying gai 	不應該	c=1 d=3.43651e-023 t=36766
bu ying xiang 	不影響	c=5 d=6.48147e-017 t=36766
bu yong 	不用	c=16 d=0.000617396 t=36766
bu yong gong zuo 	不用工作	c=1 d=1.32507e-076 t=36766
bu yong ping 	不用評	c=1 d=1.30854e-046 t=36766
bu zai 	不再	c=2 d=3.15638e-052 t=36766
bu zhan 	不佔	c=1 d=2.85261e-038 t=36766
bu zhan yong 	不佔用	c=1 d=1.19547e-071 t=36766
bu zhang 	不長	c=0 d=2.60248e-077 t=36766
